alphlng,pwlng,tries
3,8,1168
3,8,18620
3,8,20678
3,8,17573
3,8,6844
3,8,4
3,8,4208
3,8,1809
3,8,5231
3,8,811
3,8,6081
3,8,4291
3,8,7951
3,8,5133
3,8,6898
3,8,8765
3,8,1986
3,8,5425
3,8,949
3,8,764
3,8,1983
3,8,2690
3,8,7480
3,8,623
3,8,680
3,8,1645
3,8,2890
3,8,12503
3,8,859
3,8,4048
3,8,2406
3,8,11144
3,8,3831
3,8,2048
3,8,4574
3,8,424
3,8,2845
3,8,3324
3,8,11780
3,8,3361
3,8,7755
3,8,2814
3,8,3723
3,8,15139
3,8,10758
3,8,257
3,8,8199
3,8,10523
3,8,5121
3,8,13291
,,=STABW(C2:C51),stabw
,,=MITTELWERT(C2:C51),mittelwert
