alphlng,pwlng,tries
3,7,4210
3,7,2663
3,7,1757
3,7,1333
3,7,1484
3,7,21
3,7,844
3,7,2585
3,7,647
3,7,610
3,7,1408
3,7,674
3,7,445
3,7,674
3,7,1515
3,7,1789
3,7,7965
3,7,4846
3,7,4095
3,7,1753
3,7,4673
3,7,1950
3,7,784
3,7,566
3,7,3060
3,7,1096
3,7,2832
3,7,3059
3,7,1606
3,7,3442
3,7,3010
3,7,335
3,7,1909
3,7,2100
3,7,1145
3,7,123
3,7,3312
3,7,3517
3,7,4915
3,7,2453
3,7,843
3,7,1093
3,7,214
3,7,7977
3,7,641
3,7,1994
3,7,34
3,7,726
3,7,3345
3,7,576
,,=STABW(C2:C51),stabw
,,=MITTELWERT(C2:C51),mittelwert
