alphlng,pwlng,tries
2,8,53
2,8,21
2,8,61
2,8,346
2,8,303
2,8,208
2,8,366
2,8,352
2,8,175
2,8,303
2,8,6
2,8,66
2,8,336
2,8,299
2,8,715
2,8,112
2,8,367
2,8,74
2,8,36
2,8,1093
2,8,68
2,8,214
2,8,54
2,8,284
2,8,378
2,8,872
2,8,537
2,8,394
2,8,164
2,8,194
2,8,198
2,8,41
2,8,265
2,8,527
2,8,3
2,8,108
2,8,136
2,8,105
2,8,380
2,8,224
2,8,277
2,8,329
2,8,191
2,8,119
2,8,530
2,8,308
2,8,1
2,8,154
2,8,306
2,8,102
,,=STABW(C2:C51),stabw
,,=MITTELWERT(C2:C51),mittelwert
